SKU,DESCRIPTION,YEAR,CAPACITY,URL,PRICE,SELLER_INFORMATION,OFFER_DESCRIPTION,COUNTRY
11494,"Ch Leoville Poyferre",1990,750ml,https://www.wine-searcher.com/find/ch+leoville+poyferre/1990/-/-/u,$399.00,"Grand Vin Wine Merchants US","Leoville Poyferre1990(750ML)Saint Julien","USA (WA)"
11494,"Ch Leoville Poyferre",1990,750ml,https://www.wine-searcher.com/find/ch+leoville+poyferre/1990/-/-/u,$479.00,"Sokolin & Co.","1990Leoville Poyferre(12-PackOWC)","USA (NY)"
11495,"Ch Leoville Poyferre",1996,750ml,https://www.wine-searcher.com/find/ch+leoville+poyferre/1996/-/-/u,$139.00,"The Redd Collection","1996Ch Leoville Poyferre","USA (CA)"
11495,"Ch Leoville Poyferre",1996,750ml,https://www.wine-searcher.com/find/ch+leoville+poyferre/1996/-/-/u,$170.00,"Sokolin & Co.","1996Leoville Poyferre","USA (NY)"
11495,"Ch Leoville Poyferre",1996,750ml,https://www.wine-searcher.com/find/ch+leoville+poyferre/1996/-/-/u,$178.00,"Flickinger Wines","1996Ch.Leoville Poyferre St.Julien","USA (IL)"
11495,"Ch Leoville Poyferre",1996,750ml,https://www.wine-searcher.com/find/ch+leoville+poyferre/1996/-/-/u,$184.95,"Crush Wine & Spirits","1996Chateau Leoville-Poyferre750ml","USA (NY)"
11495,"Ch Leoville Poyferre",1996,750ml,https://www.wine-searcher.com/find/ch+leoville+poyferre/1996/-/-/u,$244.99,"67 Wine & Spirits NY","Chateau Leoville Poyferre-St.-Julien1996","USA (NY)"
11495,"Ch Leoville Poyferre",1996,750ml,https://www.wine-searcher.com/find/ch+leoville+poyferre/1996/-/-/u,$375.00,"Flickinger Wines","1996Ch.Leoville Poyferre St.Julien","USA (IL)"
11495,"Ch Leoville Poyferre",1996,750ml,https://www.wine-searcher.com/find/ch+leoville+poyferre/1996/-/-/u,$379.95,"Crush Wine & Spirits","1996Chateau Leoville-Poyferre1.5L","USA (NY)"
11496,"Ch Leoville Poyferre",2000,750ml,https://www.wine-searcher.com/find/ch+leoville+poyferre/2000/-/-/u,$185.00,"The Redd Collection","2000Ch Leoville Poyferre","USA (CA)"
11496,"Ch Leoville Poyferre",2000,750ml,https://www.wine-searcher.com/find/ch+leoville+poyferre/2000/-/-/u,$199.99,"Mora's Fine Wine and Spirits","Chateau Leoville Poyferre St.Julien2000French Red Bordeaux Wine759mL","USA (NY)"
11496,"Ch Leoville Poyferre",2000,750ml,https://www.wine-searcher.com/find/ch+leoville+poyferre/2000/-/-/u,$200.00,"Mt. Carmel Wine & Spirits Co.","2000Chateau Leoville Poyferre","USA (CT)"
11496,"Ch Leoville Poyferre",2000,750ml,https://www.wine-searcher.com/find/ch+leoville+poyferre/2000/-/-/u,$205.00,"Westgarth Wines","2000Leoville Poyferre","USA (CA)"
11496,"Ch Leoville Poyferre",2000,750ml,https://www.wine-searcher.com/find/ch+leoville+poyferre/2000/-/-/u,$214.99,"Grand Vin Wine Merchants US","Leoville Poyferre2000(750ML)Saint Julien","USA (WA)"
11496,"Ch Leoville Poyferre",2000,750ml,https://www.wine-searcher.com/find/ch+leoville+poyferre/2000/-/-/u,$229.00,"Sokolin & Co.","2000Leoville Poyferre","USA (NY)"
11496,"Ch Leoville Poyferre",2000,750ml,https://www.wine-searcher.com/find/ch+leoville+poyferre/2000/-/-/u,$265.00,"Pogo's Liquor Inc.","Chateau Leoville Poyferre-St.-Julien2000","USA (TX)"
